image,path,label,calf,station,before,from,conf,type,box_x,box_y,box_width,box_height
image_14_1_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_1_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.84212875,Face,1480.2957,869.33044,399.359,536.5512
image_14_2_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_2_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8996762,Face,1482.5856,868.07275,434.21216,531.36084
image_14_3_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_3_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.832108,Face,1484.5197,875.7934,398.52197,544.5187
image_14_4_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_4_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.84425485,Face,1452.8845,884.62195,387.10278,551.054
image_14_5_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_5_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.86183107,Face,1430.3955,910.55457,368.50647,558.29486
image_14_6_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_6_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8246987,Face,1449.4324,947.3967,414.64465,538.7217
image_14_7_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_7_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8291696,Face,1467.5397,929.681,459.09424,548.83075
image_14_8_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_8_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8193189,Face,1472.4291,878.62427,398.1941,572.41644
image_14_9_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_9_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8653125,Face,1463.95,844.61646,389.53076,588.603
image_14_10_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_10_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8523908,Face,1434.5103,846.6727,370.75647,594.6502
image_14_11_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_11_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.85915405,Face,1455.9229,888.4768,369.6156,585.8811
image_14_12_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_12_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.85666126,Face,1463.7375,939.1504,364.21472,550.8984
image_14_13_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_13_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.87536293,Face,1464.9448,992.93805,369.89,541.57385
image_14_14_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_14_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8609106,Face,1474.8662,1015.85486,373.73425,552.3344
image_14_15_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_15_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8477941,Face,1482.305,1031.1125,381.7439,520.5995
image_14_16_6768_2_2022-02-18 09:38:53_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_14_16_6768_2_2022-02-18 09:38:53_Diarrhé.png,Diarrhé,6768,2,2022-02-18 09:38:53,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.82107925,Face,1511.05,1026.1487,379.74768,534.8912
image_25_12_6794_2_2022-02-18 09:59:33_Unknown.png,/data/konrad/datasets/images/Unknown/image_25_12_6794_2_2022-02-18 09:59:33_Unknown.png,Unknown,6794,2,2022-02-18 09:59:33,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8098568,Face,1389.9952,478.08356,277.1438,294.0939
image_25_17_6794_2_2022-02-18 09:59:33_Unknown.png,/data/konrad/datasets/images/Unknown/image_25_17_6794_2_2022-02-18 09:59:33_Unknown.png,Unknown,6794,2,2022-02-18 09:59:33,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8062911,Face,1406.1211,611.8388,316.77686,358.8014
image_26_2_6794_2_2022-02-18 09:51:36_Unknown.png,/data/konrad/datasets/images/Unknown/image_26_2_6794_2_2022-02-18 09:51:36_Unknown.png,Unknown,6794,2,2022-02-18 09:51:36,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8077853,Left,1465.2942,797.44006,402.8203,470.55103
image_26_14_6794_2_2022-02-18 09:51:36_Unknown.png,/data/konrad/datasets/images/Unknown/image_26_14_6794_2_2022-02-18 09:51:36_Unknown.png,Unknown,6794,2,2022-02-18 09:51:36,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8211381,Face,1485.9031,982.62427,496.7494,568.92523
image_26_15_6794_2_2022-02-18 09:51:36_Unknown.png,/data/konrad/datasets/images/Unknown/image_26_15_6794_2_2022-02-18 09:51:36_Unknown.png,Unknown,6794,2,2022-02-18 09:51:36,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.83599865,Face,1530.1423,985.0583,487.07312,566.1942
image_26_16_6794_2_2022-02-18 09:51:36_Unknown.png,/data/konrad/datasets/images/Unknown/image_26_16_6794_2_2022-02-18 09:51:36_Unknown.png,Unknown,6794,2,2022-02-18 09:51:36,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4,0.8408612,Face,1505.2434,941.86206,432.00793,578.52515
image_41_17_6773_2_2022-02-18 15:23:19_Healthy.png,/data/konrad/datasets/images/Healthy/image_41_17_6773_2_2022-02-18 15:23:19_Healthy.png,Healthy,6773,2,2022-02-18 15:23:19,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218150001_20220218160001.mp4,0.8477242,Face,1557.7493,718.9778,323.82312,501.12396
image_41_18_6773_2_2022-02-18 15:23:19_Healthy.png,/data/konrad/datasets/images/Healthy/image_41_18_6773_2_2022-02-18 15:23:19_Healthy.png,Healthy,6773,2,2022-02-18 15:23:19,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218150001_20220218160001.mp4,0.8090381,Face,1521.8813,778.6723,344.27014,504.44788
image_51_0_6787_2_2022-02-18 07:42:16_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_51_0_6787_2_2022-02-18 07:42:16_Diarrhé.png,Diarrhé,6787,2,2022-02-18 07:42:16,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218070001_20220218080001.mp4,0.84931546,Face,1489.1125,912.223,313.77588,507.906
image_51_1_6787_2_2022-02-18 07:42:16_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_51_1_6787_2_2022-02-18 07:42:16_Diarrhé.png,Diarrhé,6787,2,2022-02-18 07:42:16,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218070001_20220218080001.mp4,0.8290378,Face,1502.7582,858.1006,317.89575,512.4134
image_51_2_6787_2_2022-02-18 07:42:16_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_51_2_6787_2_2022-02-18 07:42:16_Diarrhé.png,Diarrhé,6787,2,2022-02-18 07:42:16,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218070001_20220218080001.mp4,0.82345736,Face,1495.1006,816.4574,317.156,504.034
image_51_3_6787_2_2022-02-18 07:42:16_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_51_3_6787_2_2022-02-18 07:42:16_Diarrhé.png,Diarrhé,6787,2,2022-02-18 07:42:16,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218070001_20220218080001.mp4,0.8264891,Face,1492.1523,792.76514,329.40222,497.956
image_51_12_6787_2_2022-02-18 07:42:16_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_51_12_6787_2_2022-02-18 07:42:16_Diarrhé.png,Diarrhé,6787,2,2022-02-18 07:42:16,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218070001_20220218080001.mp4,0.8356574,Face,1442.6056,826.5555,388.885,524.2687
image_51_15_6787_2_2022-02-18 07:42:16_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_51_15_6787_2_2022-02-18 07:42:16_Diarrhé.png,Diarrhé,6787,2,2022-02-18 07:42:16,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218070001_20220218080001.mp4,0.8697709,Face,1461.4446,831.4777,383.70496,526.3585
image_51_16_6787_2_2022-02-18 07:42:16_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_51_16_6787_2_2022-02-18 07:42:16_Diarrhé.png,Diarrhé,6787,2,2022-02-18 07:42:16,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218070001_20220218080001.mp4,0.84475654,Face,1501.8608,838.95764,385.2633,505.5739
image_51_17_6787_2_2022-02-18 07:42:16_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_51_17_6787_2_2022-02-18 07:42:16_Diarrhé.png,Diarrhé,6787,2,2022-02-18 07:42:16,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218070001_20220218080001.mp4,0.8260379,Face,1527.0742,820.60046,361.42493,509.80713
image_51_18_6787_2_2022-02-18 07:42:16_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_51_18_6787_2_2022-02-18 07:42:16_Diarrhé.png,Diarrhé,6787,2,2022-02-18 07:42:16,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218070001_20220218080001.mp4,0.8454196,Face,1521.4504,828.746,384.3827,515.6323
image_51_19_6787_2_2022-02-18 07:42:16_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_51_19_6787_2_2022-02-18 07:42:16_Diarrhé.png,Diarrhé,6787,2,2022-02-18 07:42:16,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218070001_20220218080001.mp4,0.8343078,Face,1499.3701,826.56165,403.7943,533.905
image_59_0_6403_2_2022-02-18 19:14:28_Unknown.png,/data/konrad/datasets/images/Unknown/image_59_0_6403_2_2022-02-18 19:14:28_Unknown.png,Unknown,6403,2,2022-02-18 19:14:28,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218190001_20220218200001.mp4,0.84018344,Face,1481.9785,986.41516,534.11914,619.1696
image_59_1_6403_2_2022-02-18 19:14:28_Unknown.png,/data/konrad/datasets/images/Unknown/image_59_1_6403_2_2022-02-18 19:14:28_Unknown.png,Unknown,6403,2,2022-02-18 19:14:28,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218190001_20220218200001.mp4,0.82764405,Face,1478.7534,978.881,530.4679,634.23804
image_59_2_6403_2_2022-02-18 19:14:28_Unknown.png,/data/konrad/datasets/images/Unknown/image_59_2_6403_2_2022-02-18 19:14:28_Unknown.png,Unknown,6403,2,2022-02-18 19:14:28,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218190001_20220218200001.mp4,0.8418317,Face,1476.7554,972.55786,509.40833,646.8843
image_59_11_6403_2_2022-02-18 19:14:28_Unknown.png,/data/konrad/datasets/images/Unknown/image_59_11_6403_2_2022-02-18 19:14:28_Unknown.png,Unknown,6403,2,2022-02-18 19:14:28,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218190001_20220218200001.mp4,0.814652,Left,1487.5956,812.7208,590.9492,623.4173
image_59_18_6403_2_2022-02-18 19:14:28_Unknown.png,/data/konrad/datasets/images/Unknown/image_59_18_6403_2_2022-02-18 19:14:28_Unknown.png,Unknown,6403,2,2022-02-18 19:14:28,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218190001_20220218200001.mp4,0.8414778,Face,1520.3613,700.5385,517.5514,590.0464
image_59_19_6403_2_2022-02-18 19:14:28_Unknown.png,/data/konrad/datasets/images/Unknown/image_59_19_6403_2_2022-02-18 19:14:28_Unknown.png,Unknown,6403,2,2022-02-18 19:14:28,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218190001_20220218200001.mp4,0.8444373,Face,1505.5752,700.8821,563.84424,551.1466
image_79_10_6391_2_2022-02-18 14:45:59_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_79_10_6391_2_2022-02-18 14:45:59_Diarrhé.png,Diarrhé,6391,2,2022-02-18 14:45:59,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.84078306,Face,1504.6562,457.9575,411.91565,473.07855
image_79_11_6391_2_2022-02-18 14:45:59_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_79_11_6391_2_2022-02-18 14:45:59_Diarrhé.png,Diarrhé,6391,2,2022-02-18 14:45:59,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.830499,Face,1525.229,478.82327,378.9558,517.2308
image_79_12_6391_2_2022-02-18 14:45:59_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_79_12_6391_2_2022-02-18 14:45:59_Diarrhé.png,Diarrhé,6391,2,2022-02-18 14:45:59,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.8539727,Face,1534.3259,540.77277,354.17407,546.50696
image_79_13_6391_2_2022-02-18 14:45:59_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_79_13_6391_2_2022-02-18 14:45:59_Diarrhé.png,Diarrhé,6391,2,2022-02-18 14:45:59,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.836999,Face,1547.0385,572.503,337.48364,561.9143
image_79_14_6391_2_2022-02-18 14:45:59_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_79_14_6391_2_2022-02-18 14:45:59_Diarrhé.png,Diarrhé,6391,2,2022-02-18 14:45:59,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.85734147,Face,1528.885,567.7104,364.28528,585.6898
image_79_15_6391_2_2022-02-18 14:45:59_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_79_15_6391_2_2022-02-18 14:45:59_Diarrhé.png,Diarrhé,6391,2,2022-02-18 14:45:59,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.85170573,Face,1495.2742,608.0676,391.89722,606.8248
image_79_16_6391_2_2022-02-18 14:45:59_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_79_16_6391_2_2022-02-18 14:45:59_Diarrhé.png,Diarrhé,6391,2,2022-02-18 14:45:59,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.8030354,Face,1490.3668,632.71136,378.156,619.56104
image_79_17_6391_2_2022-02-18 14:45:59_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_79_17_6391_2_2022-02-18 14:45:59_Diarrhé.png,Diarrhé,6391,2,2022-02-18 14:45:59,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.80166787,Face,1492.2771,680.20557,370.49658,603.6685
image_79_18_6391_2_2022-02-18 14:45:59_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_79_18_6391_2_2022-02-18 14:45:59_Diarrhé.png,Diarrhé,6391,2,2022-02-18 14:45:59,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218140001_20220218150001.mp4,0.8071758,Face,1534.7379,685.2893,442.8374,598.04175
image_83_18_6764_10_2022-02-18 08:33:01_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_83_18_6764_10_2022-02-18 08:33:01_Diarrhé.png,Diarrhé,6764,10,2022-02-18 08:33:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch10_main_20220218080009_20220218090009.mp4,0.82805747,Face,1827.0621,1039.8687,327.6941,454.90765
image_83_19_6764_10_2022-02-18 08:33:01_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_83_19_6764_10_2022-02-18 08:33:01_Diarrhé.png,Diarrhé,6764,10,2022-02-18 08:33:01,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch10_main_20220218080009_20220218090009.mp4,0.8260232,Face,1867.7244,1027.8815,317.9359,471.7553
image_84_1_6771_2_2022-02-18 15:17:36_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_84_1_6771_2_2022-02-18 15:17:36_Diarrhé.png,Diarrhé,6771,2,2022-02-18 15:17:36,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218150001_20220218160001.mp4,0.8015421,Face,1610.4661,198.69955,277.76672,354.3275
image_84_2_6771_2_2022-02-18 15:17:36_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_84_2_6771_2_2022-02-18 15:17:36_Diarrhé.png,Diarrhé,6771,2,2022-02-18 15:17:36,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218150001_20220218160001.mp4,0.8094371,Face,1630.4926,230.44392,303.37744,322.6434
image_84_9_6771_2_2022-02-18 15:17:36_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_84_9_6771_2_2022-02-18 15:17:36_Diarrhé.png,Diarrhé,6771,2,2022-02-18 15:17:36,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218150001_20220218160001.mp4,0.8049191,Face,1504.5537,392.1834,387.88147,459.40002
image_84_11_6771_2_2022-02-18 15:17:36_Diarrhé.png,/data/konrad/datasets/images/Diarrhé/image_84_11_6771_2_2022-02-18 15:17:36_Diarrhé.png,Diarrhé,6771,2,2022-02-18 15:17:36,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218150001_20220218160001.mp4,0.8164364,Face,1522.4172,580.7166,375.75354,496.11154
