video,path,label,duration,calf,station,before,from
clip_21_6832_9_2022-03-11 17:20:52_Diarrhé.mp4,temp_videos/Diarrhé/clip_21_6832_9_2022-03-11 17:20:52_Diarrhé.mp4,Diarrhé,20.0,6832,9,2022-03-11 17:20:52,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch9_main_20220311170008_20220311180008.mp4
clip_22_6766_10_2022-03-13 20:31:06_Pneumonie.mp4,temp_videos/Pneumonie/clip_22_6766_10_2022-03-13 20:31:06_Pneumonie.mp4,Pneumonie,20.0,6766,10,2022-03-13 20:31:06,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch10_main_20220313200009_20220313210009.mp4
clip_23_6375_10_2022-03-12 20:21:41_Diarrhé.mp4,temp_videos/Diarrhé/clip_23_6375_10_2022-03-12 20:21:41_Diarrhé.mp4,Diarrhé,20.0,6375,10,2022-03-12 20:21:41,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch10_main_20220312200009_20220312210009.mp4
clip_24_6768_2_2022-02-18 18:24:07_Diarrhé.mp4,temp_videos/Diarrhé/clip_24_6768_2_2022-02-18 18:24:07_Diarrhé.mp4,Diarrhé,20.0,6768,2,2022-02-18 18:24:07,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218180001_20220218190001.mp4
clip_25_6764_10_2022-03-16 12:49:27_Pneumonie.mp4,temp_videos/Pneumonie/clip_25_6764_10_2022-03-16 12:49:27_Pneumonie.mp4,Pneumonie,20.0,6764,10,2022-03-16 12:49:27,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch10_main_20220316120009_20220316130009.mp4
clip_26_6829_9_2022-04-04 16:34:49_Pneumonie.mp4,temp_videos/Pneumonie/clip_26_6829_9_2022-04-04 16:34:49_Pneumonie.mp4,Pneumonie,20.0,6829,9,2022-04-04 16:34:49,/data/public/heureux_2022-02-16_2022-04-16/2022-03-30-2022-04-04/N862A6_ch9_main_20220404160008_20220404170008.mp4
clip_27_6766_10_2022-02-22 17:09:42_Diarrhé.mp4,temp_videos/Diarrhé/clip_27_6766_10_2022-02-22 17:09:42_Diarrhé.mp4,Diarrhé,20.0,6766,10,2022-02-22 17:09:42,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch10_main_20220222170009_20220222180009.mp4
clip_28_6382_10_2022-03-10 09:34:27_Pneumonie.mp4,temp_videos/Pneumonie/clip_28_6382_10_2022-03-10 09:34:27_Pneumonie.mp4,Pneumonie,20.0,6382,10,2022-03-10 09:34:27,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch10_main_20220310090009_20220310100009.mp4
clip_29_6834_9_2022-03-10 15:21:54_Pneumonie.mp4,temp_videos/Pneumonie/clip_29_6834_9_2022-03-10 15:21:54_Pneumonie.mp4,Pneumonie,20.0,6834,9,2022-03-10 15:21:54,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch9_main_20220310150008_20220310160008.mp4
clip_30_6829_9_2022-04-15 14:49:33_Healthy.mp4,temp_videos/Healthy/clip_30_6829_9_2022-04-15 14:49:33_Healthy.mp4,Healthy,20.0,6829,9,2022-04-15 14:49:33,/data/public/heureux_2022-02-16_2022-04-16/2022-04-11-2022-04-16/N862A6_ch9_main_20220415140008_20220415150008.mp4
clip_31_6412_1_2022-02-26 17:20:02_Healthy.mp4,temp_videos/Healthy/clip_31_6412_1_2022-02-26 17:20:02_Healthy.mp4,Healthy,20.0,6412,1,2022-02-26 17:20:02,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch1_main_20220226170000_20220226180000.mp4
clip_32_6734_10_2022-02-26 21:27:12_Pneumonie.mp4,temp_videos/Pneumonie/clip_32_6734_10_2022-02-26 21:27:12_Pneumonie.mp4,Pneumonie,20.0,6734,10,2022-02-26 21:27:12,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch10_main_20220226210009_20220226220000.mp4
clip_33_6388_10_2022-03-03 15:54:34_Healthy.mp4,temp_videos/Healthy/clip_33_6388_10_2022-03-03 15:54:34_Healthy.mp4,Healthy,20.0,6388,10,2022-03-03 15:54:34,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220303150009_20220303160009.mp4
clip_34_6403_2_2022-02-27 20:17:45_Diarrhé.mp4,temp_videos/Diarrhé/clip_34_6403_2_2022-02-27 20:17:45_Diarrhé.mp4,Diarrhé,20.0,6403,2,2022-02-27 20:17:45,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220227200001_20220227210001.mp4
clip_35_6370_10_2022-03-03 10:06:28_Pneumonie.mp4,temp_videos/Pneumonie/clip_35_6370_10_2022-03-03 10:06:28_Pneumonie.mp4,Pneumonie,20.0,6370,10,2022-03-03 10:06:28,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220303100008_20220303110009.mp4
clip_36_6791_2_2022-02-25 18:07:24_Diarrhé.mp4,temp_videos/Diarrhé/clip_36_6791_2_2022-02-25 18:07:24_Diarrhé.mp4,Diarrhé,20.0,6791,2,2022-02-25 18:07:24,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220225180001_20220225190001.mp4
clip_37_6370_10_2022-02-16 18:52:49_Diarrhé.mp4,temp_videos/Diarrhé/clip_37_6370_10_2022-02-16 18:52:49_Diarrhé.mp4,Diarrhé,20.0,6370,10,2022-02-16 18:52:49,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch10_main_20220216180009_20220216190009.mp4
clip_39_6370_10_2022-03-07 09:11:28_Healthy.mp4,temp_videos/Healthy/clip_39_6370_10_2022-03-07 09:11:28_Healthy.mp4,Healthy,20.0,6370,10,2022-03-07 09:11:28,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch10_main_20220307090009_20220307100009.mp4
clip_40_6841_9_2022-03-23 17:49:06_Diarrhé.mp4,temp_videos/Diarrhé/clip_40_6841_9_2022-03-23 17:49:06_Diarrhé.mp4,Diarrhé,20.0,6841,9,2022-03-23 17:49:06,/data/public/heureux_2022-02-16_2022-04-16/2022-03-18-2022-03-23/N862A6_ch9_main_20220323170008_20220323180008.mp4
clip_41_6760_10_2022-02-19 18:09:37_Healthy.mp4,temp_videos/Healthy/clip_41_6760_10_2022-02-19 18:09:37_Healthy.mp4,Healthy,20.0,6760,10,2022-02-19 18:09:37,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch10_main_20220219180009_20220219190009.mp4
clip_42_6741_9_2022-02-21 11:36:06_Pneumonie.mp4,temp_videos/Pneumonie/clip_42_6741_9_2022-02-21 11:36:06_Pneumonie.mp4,Pneumonie,20.0,6741,9,2022-02-21 11:36:06,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch9_main_20220221110008_20220221120008.mp4
clip_43_6787_2_2022-02-20 06:09:47_Pneumonie.mp4,temp_videos/Pneumonie/clip_43_6787_2_2022-02-20 06:09:47_Pneumonie.mp4,Pneumonie,20.0,6787,2,2022-02-20 06:09:47,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220220060000_20220220070001.mp4
clip_45_6760_10_2022-03-11 19:55:20_Pneumonie.mp4,temp_videos/Pneumonie/clip_45_6760_10_2022-03-11 19:55:20_Pneumonie.mp4,Pneumonie,20.0,6760,10,2022-03-11 19:55:20,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch10_main_20220311190009_20220311200009.mp4
clip_46_6766_10_2022-02-18 07:16:48_Diarrhé.mp4,temp_videos/Diarrhé/clip_46_6766_10_2022-02-18 07:16:48_Diarrhé.mp4,Diarrhé,20.0,6766,10,2022-02-18 07:16:48,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch10_main_20220218070009_20220218080009.mp4
clip_47_6832_9_2022-03-12 10:58:17_Diarrhé.mp4,temp_videos/Diarrhé/clip_47_6832_9_2022-03-12 10:58:17_Diarrhé.mp4,Diarrhé,20.0,6832,9,2022-03-12 10:58:17,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch9_main_20220312100008_20220312110008.mp4
clip_48_6385_10_2022-03-18 21:01:42_Healthy.mp4,temp_videos/Healthy/clip_48_6385_10_2022-03-18 21:01:42_Healthy.mp4,Healthy,20.0,6385,10,2022-03-18 21:01:42,/data/public/heureux_2022-02-16_2022-04-16/2022-03-18-2022-03-23/N862A6_ch10_main_20220318210009_20220318220000.mp4
clip_49_6842_9_2022-03-16 15:54:49_Diarrhé.mp4,temp_videos/Diarrhé/clip_49_6842_9_2022-03-16 15:54:49_Diarrhé.mp4,Diarrhé,20.0,6842,9,2022-03-16 15:54:49,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch9_main_20220316150008_20220316160008.mp4
clip_50_6791_2_2022-02-21 08:32:22_Diarrhé.mp4,temp_videos/Diarrhé/clip_50_6791_2_2022-02-21 08:32:22_Diarrhé.mp4,Diarrhé,20.0,6791,2,2022-02-21 08:32:22,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220221080001_20220221090001.mp4
clip_51_6836_9_2022-03-12 19:15:45_Healthy.mp4,temp_videos/Healthy/clip_51_6836_9_2022-03-12 19:15:45_Healthy.mp4,Healthy,20.0,6836,9,2022-03-12 19:15:45,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch9_main_20220312190008_20220312200008.mp4
clip_52_6783_2_2022-02-27 12:16:17_Healthy.mp4,temp_videos/Healthy/clip_52_6783_2_2022-02-27 12:16:17_Healthy.mp4,Healthy,20.0,6783,2,2022-02-27 12:16:17,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220227120001_20220227130001.mp4
clip_53_6842_9_2022-03-25 13:09:32_Pneumonie.mp4,temp_videos/Pneumonie/clip_53_6842_9_2022-03-25 13:09:32_Pneumonie.mp4,Pneumonie,20.0,6842,9,2022-03-25 13:09:32,/data/public/heureux_2022-02-16_2022-04-16/2022-03-24-2022-03-29/N862A6_ch9_main_20220325124133_20220325140008.mp4
clip_54_6726_10_2022-02-22 19:18:02_Healthy.mp4,temp_videos/Healthy/clip_54_6726_10_2022-02-22 19:18:02_Healthy.mp4,Healthy,20.0,6726,10,2022-02-22 19:18:02,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch10_main_20220222190009_20220222200009.mp4
clip_55_6832_9_2022-03-30 19:02:06_Pneumonie.mp4,temp_videos/Pneumonie/clip_55_6832_9_2022-03-30 19:02:06_Pneumonie.mp4,Pneumonie,20.0,6832,9,2022-03-30 19:02:06,/data/public/heureux_2022-02-16_2022-04-16/2022-03-30-2022-04-04/N862A6_ch9_main_20220330190008_20220330200008.mp4
clip_56_6774_2_2022-02-27 13:47:40_Pneumonie.mp4,temp_videos/Pneumonie/clip_56_6774_2_2022-02-27 13:47:40_Pneumonie.mp4,Pneumonie,20.0,6774,2,2022-02-27 13:47:40,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220227130001_20220227140001.mp4
clip_57_6370_10_2022-03-09 14:10:24_Healthy.mp4,temp_videos/Healthy/clip_57_6370_10_2022-03-09 14:10:24_Healthy.mp4,Healthy,20.0,6370,10,2022-03-09 14:10:24,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch10_main_20220309140009_20220309150009.mp4
clip_58_6391_2_2022-02-17 16:44:41_Diarrhé.mp4,temp_videos/Diarrhé/clip_58_6391_2_2022-02-17 16:44:41_Diarrhé.mp4,Diarrhé,20.0,6391,2,2022-02-17 16:44:41,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220217160001_20220217170001.mp4
clip_59_6787_2_2022-03-02 14:37:15_Diarrhé.mp4,temp_videos/Diarrhé/clip_59_6787_2_2022-03-02 14:37:15_Diarrhé.mp4,Diarrhé,20.0,6787,2,2022-03-02 14:37:15,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220302140001_20220302150001.mp4
clip_60_6724_10_2022-02-17 06:32:36_Pneumonie.mp4,temp_videos/Pneumonie/clip_60_6724_10_2022-02-17 06:32:36_Pneumonie.mp4,Pneumonie,20.0,6724,10,2022-02-17 06:32:36,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch10_main_20220217060000_20220217070009.mp4
clip_61_6393_10_2022-03-13 15:08:05_Diarrhé.mp4,temp_videos/Diarrhé/clip_61_6393_10_2022-03-13 15:08:05_Diarrhé.mp4,Diarrhé,20.0,6393,10,2022-03-13 15:08:05,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch10_main_20220313150009_20220313160009.mp4
clip_62_6764_10_2022-03-21 20:16:44_Healthy.mp4,temp_videos/Healthy/clip_62_6764_10_2022-03-21 20:16:44_Healthy.mp4,Healthy,20.0,6764,10,2022-03-21 20:16:44,/data/public/heureux_2022-02-16_2022-04-16/2022-03-18-2022-03-23/N862A6_ch10_main_20220321200009_20220321210009.mp4
clip_63_6420_9_2022-03-18 17:29:21_Diarrhé.mp4,temp_videos/Diarrhé/clip_63_6420_9_2022-03-18 17:29:21_Diarrhé.mp4,Diarrhé,20.0,6420,9,2022-03-18 17:29:21,/data/public/heureux_2022-02-16_2022-04-16/2022-03-18-2022-03-23/N862A6_ch9_main_20220318170008_20220318180008.mp4
clip_64_6827_9_2022-03-23 12:29:02_Pneumonie.mp4,temp_videos/Pneumonie/clip_64_6827_9_2022-03-23 12:29:02_Pneumonie.mp4,Pneumonie,20.0,6827,9,2022-03-23 12:29:02,/data/public/heureux_2022-02-16_2022-04-16/2022-03-18-2022-03-23/N862A6_ch9_main_20220323120008_20220323124127.mp4
clip_65_6382_10_2022-03-16 11:49:20_Healthy.mp4,temp_videos/Healthy/clip_65_6382_10_2022-03-16 11:49:20_Healthy.mp4,Healthy,20.0,6382,10,2022-03-16 11:49:20,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch10_main_20220316110009_20220316120009.mp4
clip_66_6412_1_2022-03-02 14:42:45_Healthy.mp4,temp_videos/Healthy/clip_66_6412_1_2022-03-02 14:42:45_Healthy.mp4,Healthy,20.0,6412,1,2022-03-02 14:42:45,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch1_main_20220302140000_20220302150000.mp4
clip_67_6794_2_2022-02-17 09:00:14_Healthy.mp4,temp_videos/Healthy/clip_67_6794_2_2022-02-17 09:00:14_Healthy.mp4,Healthy,13.0,6794,2,2022-02-17 09:00:14,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220217090001_20220217100001.mp4
clip_68_6354_9_2022-02-17 13:41:50_Healthy.mp4,temp_videos/Healthy/clip_68_6354_9_2022-02-17 13:41:50_Healthy.mp4,Healthy,20.0,6354,9,2022-02-17 13:41:50,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch9_main_20220217130008_20220217140008.mp4
clip_69_6780_2_2022-02-27 17:02:41_Pneumonie.mp4,temp_videos/Pneumonie/clip_69_6780_2_2022-02-27 17:02:41_Pneumonie.mp4,Pneumonie,20.0,6780,2,2022-02-27 17:02:41,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220227170001_20220227180001.mp4
clip_70_6774_2_2022-02-19 07:01:56_Diarrhé.mp4,temp_videos/Diarrhé/clip_70_6774_2_2022-02-19 07:01:56_Diarrhé.mp4,Diarrhé,20.0,6774,2,2022-02-19 07:01:56,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220219070001_20220219080001.mp4
clip_71_6780_2_2022-02-24 18:39:42_Diarrhé.mp4,temp_videos/Diarrhé/clip_71_6780_2_2022-02-24 18:39:42_Diarrhé.mp4,Diarrhé,20.0,6780,2,2022-02-24 18:39:42,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220224180001_20220224190001.mp4
clip_72_6766_10_2022-02-26 09:38:50_Pneumonie.mp4,temp_videos/Pneumonie/clip_72_6766_10_2022-02-26 09:38:50_Pneumonie.mp4,Pneumonie,20.0,6766,10,2022-02-26 09:38:50,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch10_main_20220226090009_20220226100009.mp4
clip_73_6426_9_2022-03-11 10:26:41_Diarrhé.mp4,temp_videos/Diarrhé/clip_73_6426_9_2022-03-11 10:26:41_Diarrhé.mp4,Diarrhé,20.0,6426,9,2022-03-11 10:26:41,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch9_main_20220311100008_20220311110008.mp4
clip_74_6403_2_2022-02-17 15:17:07_Healthy.mp4,temp_videos/Healthy/clip_74_6403_2_2022-02-17 15:17:07_Healthy.mp4,Healthy,20.0,6403,2,2022-02-17 15:17:07,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220217150001_20220217160001.mp4
clip_75_6382_10_2022-03-15 19:32:35_Healthy.mp4,temp_videos/Healthy/clip_75_6382_10_2022-03-15 19:32:35_Healthy.mp4,Healthy,20.0,6382,10,2022-03-15 19:32:35,/data/public/heureux_2022-02-16_2022-04-16/2022-03-12-2022-03-17/N862A6_ch10_main_20220315190009_20220315200009.mp4
clip_76_6370_10_2022-02-17 10:32:44_Diarrhé.mp4,temp_videos/Diarrhé/clip_76_6370_10_2022-02-17 10:32:44_Diarrhé.mp4,Diarrhé,20.0,6370,10,2022-02-17 10:32:44,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch10_main_20220217100009_20220217110009.mp4
clip_77_6766_10_2022-03-05 11:35:19_Healthy.mp4,temp_videos/Healthy/clip_77_6766_10_2022-03-05 11:35:19_Healthy.mp4,Healthy,20.0,6766,10,2022-03-05 11:35:19,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220305110009_20220305114109.mp4
clip_78_6841_9_2022-03-28 07:48:09_Healthy.mp4,temp_videos/Healthy/clip_78_6841_9_2022-03-28 07:48:09_Healthy.mp4,Healthy,20.0,6841,9,2022-03-28 07:48:09,/data/public/heureux_2022-02-16_2022-04-16/2022-03-24-2022-03-29/N862A6_ch9_main_20220328070008_20220328080008.mp4
clip_79_6382_10_2022-03-07 06:59:08_Diarrhé.mp4,temp_videos/Diarrhé/clip_79_6382_10_2022-03-07 06:59:08_Diarrhé.mp4,Diarrhé,20.0,6382,10,2022-03-07 06:59:08,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch10_main_20220307060000_20220307070009.mp4
clip_80_6764_10_2022-03-08 19:49:12_Pneumonie.mp4,temp_videos/Pneumonie/clip_80_6764_10_2022-03-08 19:49:12_Pneumonie.mp4,Pneumonie,20.0,6764,10,2022-03-08 19:49:12,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch10_main_20220308190009_20220308200009.mp4
clip_81_6773_2_2022-02-24 13:43:03_Healthy.mp4,temp_videos/Healthy/clip_81_6773_2_2022-02-24 13:43:03_Healthy.mp4,Healthy,20.0,6773,2,2022-02-24 13:43:03,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220224130001_20220224140001.mp4
clip_82_6355_9_2022-02-16 09:19:26_Pneumonie.mp4,temp_videos/Pneumonie/clip_82_6355_9_2022-02-16 09:19:26_Pneumonie.mp4,Pneumonie,20.0,6355,9,2022-02-16 09:19:26,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch9_main_20220216085511_20220216091949.mp4
clip_83_6791_2_2022-02-18 09:08:54_Diarrhé.mp4,temp_videos/Diarrhé/clip_83_6791_2_2022-02-18 09:08:54_Diarrhé.mp4,Diarrhé,20.0,6791,2,2022-02-18 09:08:54,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220218090001_20220218100001.mp4
