image,path,label,calf,station,before,from,conf,box_center_x,box_center_y,box_width,box_height,bilabel,x_min,x_max,y_min,y_max
image_939_9_6768_2_2022-02-23 11:54:20_Pneumonie.png,/data/data_calves/konrad/mixed_10s_b0s/images/Pneumonie/image_939_9_6768_2_2022-02-23 11:54:20_Pneumonie.png,Pneumonie,6768,2,2022-02-23 11:54:20,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220223114102_20220223130001.mp4,0.9083685,1612.6667,493.4758,393.96008,447.23615,Illness,1415.68666,1809.64674,269.85772499999996,717.093875
image_2289_11_6773_2_2022-02-27 06:40:33_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_2289_11_6773_2_2022-02-27 06:40:33_Healthy.png,Healthy,6773,2,2022-02-27 06:40:33,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220227060000_20220227070001.mp4,0.88267773,1523.6891,669.81006,395.1245,566.5941,Healthy,1326.12685,1721.25135,386.51301,953.10711
image_1936_0_6382_10_2022-03-02 10:13:15_Pneumonie.png,/data/data_calves/konrad/mixed_10s_b0s/images/Pneumonie/image_1936_0_6382_10_2022-03-02 10:13:15_Pneumonie.png,Pneumonie,6382,10,2022-03-02 10:13:15,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch10_main_20220302100009_20220302110009.mp4,0.8315156,1199.2146,974.5467,645.25073,642.9066,Illness,876.589235,1521.8399650000001,653.0934,1296.0
"image_2695_10_6385_10_2022-03-10 15:50:41_Diarrhé, Pneumonie.png","/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé, Pneumonie/image_2695_10_6385_10_2022-03-10 15:50:41_Diarrhé, Pneumonie.png","Diarrhé, Pneumonie",6385,10,2022-03-10 15:50:41,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch10_main_20220310150009_20220310160009.mp4,0.89609575,1313.3125,963.46106,332.45105,335.12476,Illness,1147.086975,1479.538025,795.89868,1131.02344
image_1415_7_6797_1_2022-02-20 20:58:36_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_1415_7_6797_1_2022-02-20 20:58:36_Healthy.png,Healthy,6797,1,2022-02-20 20:58:36,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch1_main_20220220200000_20220220210000.mp4,0.8571365,1285.7472,1064.4142,359.54663,427.0124,Healthy,1105.973885,1465.520515,850.9079999999999,1277.9204
image_446_9_6768_2_2022-02-16 06:20:51_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_446_9_6768_2_2022-02-16 06:20:51_Diarrhé.png,Diarrhé,6768,2,2022-02-16 06:20:51,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch2_main_20220216060000_20220216070001.mp4,0.8973757,1219.104,329.2105,312.93054,466.2965,Illness,1062.6387300000001,1375.56927,96.06225000000003,562.35875
image_3586_14_6846_9_2022-04-01 16:31:04_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_3586_14_6846_9_2022-04-01 16:31:04_Diarrhé.png,Diarrhé,6846,9,2022-04-01 16:31:04,/data/public/heureux_2022-02-16_2022-04-16/2022-03-30-2022-04-04/N862A6_ch9_main_20220401160008_20220401170008.mp4,0.82145846,1006.4535,1092.7656,437.04242,402.5979,Illness,787.93229,1224.97471,891.46665,1294.06455
image_3579_16_6827_9_2022-04-01 12:25:52_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_3579_16_6827_9_2022-04-01 12:25:52_Diarrhé.png,Diarrhé,6827,9,2022-04-01 12:25:52,/data/public/heureux_2022-02-16_2022-04-16/2022-03-30-2022-04-04/N862A6_ch9_main_20220401120008_20220401130008.mp4,0.8106867,928.91223,892.07324,255.27832,331.25366,Illness,801.27307,1056.55139,726.44641,1057.70007
image_3678_9_6432_9_2022-04-01 15:26:05_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_3678_9_6432_9_2022-04-01 15:26:05_Healthy.png,Healthy,6432,9,2022-04-01 15:26:05,/data/public/heureux_2022-02-16_2022-04-16/2022-03-30-2022-04-04/N862A6_ch9_main_20220401150008_20220401160008.mp4,0.8639481,1155.4431,962.1776,546.1827,552.941,Healthy,882.35175,1428.5344499999999,685.7071,1238.6480999999999
image_2250_5_6783_2_2022-02-27 08:32:25_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_2250_5_6783_2_2022-02-27 08:32:25_Healthy.png,Healthy,6783,2,2022-02-27 08:32:25,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch2_main_20220227080001_20220227090001.mp4,0.90283096,1500.7009,583.6307,328.5492,466.52225,Healthy,1336.4263,1664.9755,350.36957500000005,816.891825
image_1354_14_6407_1_2022-02-21 10:56:39_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_1354_14_6407_1_2022-02-21 10:56:39_Healthy.png,Healthy,6407,1,2022-02-21 10:56:39,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch1_main_20220221100000_20220221110000.mp4,0.876377,1273.0977,1044.5786,414.0901,502.8427,Healthy,1066.05265,1480.14275,793.1572500000001,1295.9999500000001
image_1354_8_6407_1_2022-02-21 10:56:39_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_1354_8_6407_1_2022-02-21 10:56:39_Healthy.png,Healthy,6407,1,2022-02-21 10:56:39,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch1_main_20220221100000_20220221110000.mp4,0.87294424,1322.379,990.35583,318.6975,481.01733,Healthy,1163.0302499999998,1481.72775,749.8471649999999,1230.864495
"image_1808_17_6771_2_2022-03-02 17:40:36_Diarrhé, Pneumonie.png","/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé, Pneumonie/image_1808_17_6771_2_2022-03-02 17:40:36_Diarrhé, Pneumonie.png","Diarrhé, Pneumonie",6771,2,2022-03-02 17:40:36,/data/public/heureux_2022-02-16_2022-04-16/2022-02-28-2022-03-05/N862A6_ch2_main_20220302170001_20220302180001.mp4,0.90771407,1415.154,839.07367,467.57642,622.46277,Illness,1181.36579,1648.94221,527.842285,1150.305055
image_624_8_6412_1_2022-02-25 21:51:13_Diarrhé.png,/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé/image_624_8_6412_1_2022-02-25 21:51:13_Diarrhé.png,Diarrhé,6412,1,2022-02-25 21:51:13,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch1_main_20220225210000_20220225220000.mp4,0.8010742,1256.2224,1041.847,304.40625,465.0822,Illness,1104.019275,1408.425525,809.3059,1274.3881
"image_2585_1_6764_10_2022-02-26 17:10:28_Diarrhé, Pneumonie.png","/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé, Pneumonie/image_2585_1_6764_10_2022-02-26 17:10:28_Diarrhé, Pneumonie.png","Diarrhé, Pneumonie",6764,10,2022-02-26 17:10:28,/data/public/heureux_2022-02-16_2022-04-16/2022-02-22-2022-02-27/N862A6_ch10_main_20220226170009_20220226180009.mp4,0.9055202,1098.0697,1078.9032,390.5251,427.03125,Illness,902.80715,1293.33225,865.387575,1292.418825
image_2823_15_6766_10_2022-03-06 20:05:15_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_2823_15_6766_10_2022-03-06 20:05:15_Healthy.png,Healthy,6766,10,2022-03-06 20:05:15,/data/public/heureux_2022-02-16_2022-04-16/2022-03-06-2022-03-11/N862A6_ch10_main_20220306200009_20220306210009.mp4,0.85923076,1324.6033,942.1908,418.9442,472.55078,Healthy,1115.1312,1534.0754,705.91541,1178.4661899999999
image_85_4_6404_1_2022-02-18 09:26:23_Healthy.png,/data/data_calves/konrad/mixed_10s_b0s/images/Healthy/image_85_4_6404_1_2022-02-18 09:26:23_Healthy.png,Healthy,6404,1,2022-02-18 09:26:23,/data/public/heureux_2022-02-16_2022-04-16/2022-02-16-2022-02-21/N862A6_ch1_main_20220218090000_20220218100000.mp4,0.89996135,1196.1505,716.43396,400.13385,436.8173,Healthy,996.083575,1396.217425,498.02531,934.8426099999999
"image_3866_11_6860_10_2022-04-08 18:44:14_Diarrhé, Pneumonie.png","/data/data_calves/konrad/mixed_10s_b0s/images/Diarrhé, Pneumonie/image_3866_11_6860_10_2022-04-08 18:44:14_Diarrhé, Pneumonie.png","Diarrhé, Pneumonie",6860,10,2022-04-08 18:44:14,/data/public/heureux_2022-02-16_2022-04-16/2022-04-05-2022-04-10/N862A6_ch10_main_20220408180009_20220408190009.mp4,0.8520084,983.61255,1100.7133,208.50067,390.57343,Illness,879.3622150000001,1087.862885,905.4265849999999,1296.0000149999998
