calfNumber,parc,day,Duration,cwd,datetime,State
6370,10,2022-02-18,30,6370 2022-02-18,2022-02-18 06:18:16,"Diarrhé, Pneumonie"
6370,10,2022-02-18,26,6370 2022-02-18,2022-02-18 06:17:29,"Diarrhé, Pneumonie"
6370,10,2022-02-18,31,6370 2022-02-18,2022-02-18 06:16:29,"Diarrhé, Pneumonie"
6370,10,2022-02-18,5,6370 2022-02-18,2022-02-18 06:16:21,"Diarrhé, Pneumonie"
6370,10,2022-02-18,162,6370 2022-02-18,2022-02-18 22:29:32,"Diarrhé, Pneumonie"
6370,10,2022-02-18,131,6370 2022-02-18,2022-02-18 22:26:45,"Diarrhé, Pneumonie"
6370,10,2022-02-18,306,6370 2022-02-18,2022-02-18 19:18:12,"Diarrhé, Pneumonie"
6768,2,2022-02-18,136,6768 2022-02-18,2022-02-18 18:52:10,Diarrhé
6768,2,2022-02-18,128,6768 2022-02-18,2022-02-18 18:48:57,Diarrhé
6768,2,2022-02-18,203,6768 2022-02-18,2022-02-18 18:31:37,Diarrhé
6768,2,2022-02-18,126,6768 2022-02-18,2022-02-18 18:24:07,Diarrhé
6768,2,2022-02-18,456,6768 2022-02-18,2022-02-18 14:56:31,Diarrhé
6768,2,2022-02-18,663,6768 2022-02-18,2022-02-18 10:57:37,Diarrhé
6768,2,2022-02-18,18,6768 2022-02-18,2022-02-18 09:46:06,Diarrhé
6768,2,2022-02-18,15,6768 2022-02-18,2022-02-18 09:45:40,Diarrhé
6768,2,2022-02-18,20,6768 2022-02-18,2022-02-18 09:40:26,Diarrhé
6768,2,2022-02-18,9,6768 2022-02-18,2022-02-18 09:40:15,Diarrhé
6768,2,2022-02-18,10,6768 2022-02-18,2022-02-18 09:39:48,Diarrhé
6768,2,2022-02-18,15,6768 2022-02-18,2022-02-18 09:39:28,Diarrhé
6768,2,2022-02-18,27,6768 2022-02-18,2022-02-18 09:38:53,Diarrhé
6768,2,2022-02-18,23,6768 2022-02-18,2022-02-18 09:38:04,Diarrhé
6768,2,2022-02-18,13,6768 2022-02-18,2022-02-18 09:37:46,Diarrhé
6768,2,2022-02-18,103,6768 2022-02-18,2022-02-18 09:36:01,Diarrhé
6768,2,2022-02-18,492,6768 2022-02-18,2022-02-18 06:14:05,Diarrhé
6768,2,2022-02-18,360,6768 2022-02-18,2022-02-18 20:20:15,Diarrhé
6746,10,2022-02-18,338,6746 2022-02-18,2022-02-18 18:49:42,Unknown
6746,10,2022-02-18,268,6746 2022-02-18,2022-02-18 13:20:47,Unknown
6746,10,2022-02-18,370,6746 2022-02-18,2022-02-18 06:46:18,Unknown
6746,10,2022-02-18,50,6746 2022-02-18,2022-02-18 06:43:45,Unknown
6746,10,2022-02-18,53,6746 2022-02-18,2022-02-18 06:42:51,Unknown
6728,10,2022-02-18,278,6728 2022-02-18,2022-02-18 18:18:06,Diarrhé
6728,10,2022-02-18,202,6728 2022-02-18,2022-02-18 14:27:47,Diarrhé
6728,10,2022-02-18,40,6728 2022-02-18,2022-02-18 14:23:44,Diarrhé
6728,10,2022-02-18,283,6728 2022-02-18,2022-02-18 09:12:39,Diarrhé
6728,10,2022-02-18,90,6728 2022-02-18,2022-02-18 20:35:55,Diarrhé
6356,9,2022-02-18,199,6356 2022-02-18,2022-02-18 18:13:20,Unknown
6356,9,2022-02-18,23,6356 2022-02-18,2022-02-18 18:04:37,Unknown
6356,9,2022-02-18,103,6356 2022-02-18,2022-02-18 13:00:26,Unknown
6356,9,2022-02-18,211,6356 2022-02-18,2022-02-18 09:17:26,Unknown
6356,9,2022-02-18,71,6356 2022-02-18,2022-02-18 21:16:54,Unknown
6794,2,2022-02-18,314,6794 2022-02-18,2022-02-18 18:13:05,Unknown
6794,2,2022-02-18,127,6794 2022-02-18,2022-02-18 16:14:56,Unknown
6794,2,2022-02-18,8,6794 2022-02-18,2022-02-18 16:10:13,Unknown
6794,2,2022-02-18,129,6794 2022-02-18,2022-02-18 16:01:23,Unknown
6794,2,2022-02-18,345,6794 2022-02-18,2022-02-18 14:39:29,Unknown
6794,2,2022-02-18,75,6794 2022-02-18,2022-02-18 11:28:58,Unknown
6794,2,2022-02-18,129,6794 2022-02-18,2022-02-18 10:40:20,Unknown
6794,2,2022-02-18,134,6794 2022-02-18,2022-02-18 10:36:55,Unknown
6794,2,2022-02-18,157,6794 2022-02-18,2022-02-18 09:59:33,Unknown
6794,2,2022-02-18,205,6794 2022-02-18,2022-02-18 09:51:36,Unknown
6794,2,2022-02-18,432,6794 2022-02-18,2022-02-18 09:10:45,Unknown
6794,2,2022-02-18,150,6794 2022-02-18,2022-02-18 22:04:31,Unknown
6794,2,2022-02-18,128,6794 2022-02-18,2022-02-18 21:35:13,Unknown
6794,2,2022-02-18,156,6794 2022-02-18,2022-02-18 21:26:45,Unknown
6794,2,2022-02-18,328,6794 2022-02-18,2022-02-18 20:10:31,Unknown
6724,10,2022-02-18,192,6724 2022-02-18,2022-02-18 18:09:54,"Diarrhé, Pneumonie"
6724,10,2022-02-18,184,6724 2022-02-18,2022-02-18 14:24:25,"Diarrhé, Pneumonie"
6724,10,2022-02-18,142,6724 2022-02-18,2022-02-18 14:21:21,"Diarrhé, Pneumonie"
6724,10,2022-02-18,154,6724 2022-02-18,2022-02-18 10:00:30,"Diarrhé, Pneumonie"
6724,10,2022-02-18,238,6724 2022-02-18,2022-02-18 06:41:57,"Diarrhé, Pneumonie"
6724,10,2022-02-18,17,6724 2022-02-18,2022-02-18 06:41:25,"Diarrhé, Pneumonie"
6724,10,2022-02-18,35,6724 2022-02-18,2022-02-18 06:40:46,"Diarrhé, Pneumonie"
6724,10,2022-02-18,22,6724 2022-02-18,2022-02-18 06:39:55,"Diarrhé, Pneumonie"
6724,10,2022-02-18,11,6724 2022-02-18,2022-02-18 06:31:03,"Diarrhé, Pneumonie"
6724,10,2022-02-18,25,6724 2022-02-18,2022-02-18 06:30:12,"Diarrhé, Pneumonie"
6724,10,2022-02-18,13,6724 2022-02-18,2022-02-18 06:29:54,"Diarrhé, Pneumonie"
6724,10,2022-02-18,17,6724 2022-02-18,2022-02-18 21:26:40,"Diarrhé, Pneumonie"
6724,10,2022-02-18,32,6724 2022-02-18,2022-02-18 21:26:06,"Diarrhé, Pneumonie"
6354,9,2022-02-18,203,6354 2022-02-18,2022-02-18 18:05:00,Healthy
6354,9,2022-02-18,200,6354 2022-02-18,2022-02-18 17:18:41,Healthy
6354,9,2022-02-18,15,6354 2022-02-18,2022-02-18 17:17:49,Healthy
6354,9,2022-02-18,14,6354 2022-02-18,2022-02-18 17:16:28,Healthy
6354,9,2022-02-18,9,6354 2022-02-18,2022-02-18 17:16:07,Healthy
6354,9,2022-02-18,15,6354 2022-02-18,2022-02-18 17:15:49,Healthy
6354,9,2022-02-18,9,6354 2022-02-18,2022-02-18 17:15:39,Healthy
6354,9,2022-02-18,23,6354 2022-02-18,2022-02-18 17:15:03,Healthy
6354,9,2022-02-18,5,6354 2022-02-18,2022-02-18 17:14:56,Healthy
6354,9,2022-02-18,169,6354 2022-02-18,2022-02-18 13:41:46,Healthy
6354,9,2022-02-18,142,6354 2022-02-18,2022-02-18 13:24:54,Healthy
6354,9,2022-02-18,11,6354 2022-02-18,2022-02-18 13:24:42,Healthy
6354,9,2022-02-18,8,6354 2022-02-18,2022-02-18 13:17:18,Healthy
6354,9,2022-02-18,13,6354 2022-02-18,2022-02-18 13:15:03,Healthy
6354,9,2022-02-18,12,6354 2022-02-18,2022-02-18 13:14:44,Healthy
6354,9,2022-02-18,135,6354 2022-02-18,2022-02-18 09:23:44,Healthy
6354,9,2022-02-18,19,6354 2022-02-18,2022-02-18 09:22:59,Healthy
6354,9,2022-02-18,11,6354 2022-02-18,2022-02-18 09:21:38,Healthy
6354,9,2022-02-18,135,6354 2022-02-18,2022-02-18 21:13:19,Healthy
6786,2,2022-02-18,589,6786 2022-02-18,2022-02-18 18:03:08,Diarrhé
6786,2,2022-02-18,399,6786 2022-02-18,2022-02-18 17:14:53,Diarrhé
6786,2,2022-02-18,759,6786 2022-02-18,2022-02-18 08:34:26,Diarrhé
6353,9,2022-02-18,23,6353 2022-02-18,2022-02-18 17:40:38,Healthy
6353,9,2022-02-18,190,6353 2022-02-18,2022-02-18 16:03:58,Healthy
6353,9,2022-02-18,199,6353 2022-02-18,2022-02-18 12:00:06,Healthy
6353,9,2022-02-18,214,6353 2022-02-18,2022-02-18 08:00:16,Healthy
6353,9,2022-02-18,199,6353 2022-02-18,2022-02-18 19:32:27,Healthy
6773,2,2022-02-18,383,6773 2022-02-18,2022-02-18 17:32:07,Healthy
6773,2,2022-02-18,388,6773 2022-02-18,2022-02-18 15:23:19,Healthy
6773,2,2022-02-18,437,6773 2022-02-18,2022-02-18 10:03:06,Healthy
6773,2,2022-02-18,333,6773 2022-02-18,2022-02-18 06:28:02,Healthy
6773,2,2022-02-18,168,6773 2022-02-18,2022-02-18 06:03:32,Healthy
6773,2,2022-02-18,132,6773 2022-02-18,2022-02-18 21:44:00,Healthy
6773,2,2022-02-18,134,6773 2022-02-18,2022-02-18 21:37:56,Healthy
6773,2,2022-02-18,129,6773 2022-02-18,2022-02-18 21:00:36,Healthy
6773,2,2022-02-18,179,6773 2022-02-18,2022-02-18 20:26:15,Healthy
6780,2,2022-02-18,287,6780 2022-02-18,2022-02-18 17:27:20,"Diarrhé, Pneumonie"
6780,2,2022-02-18,501,6780 2022-02-18,2022-02-18 14:48:10,"Diarrhé, Pneumonie"
6780,2,2022-02-18,364,6780 2022-02-18,2022-02-18 12:38:07,"Diarrhé, Pneumonie"
6780,2,2022-02-18,593,6780 2022-02-18,2022-02-18 07:17:51,"Diarrhé, Pneumonie"
6780,2,2022-02-18,255,6780 2022-02-18,2022-02-18 20:16:00,"Diarrhé, Pneumonie"
6382,10,2022-02-18,1722,6382 2022-02-18,2022-02-18 17:12:20,Unknown
6382,10,2022-02-18,468,6382 2022-02-18,2022-02-18 10:03:22,Unknown
6360,9,2022-02-18,223,6360 2022-02-18,2022-02-18 16:56:21,Unknown
6360,9,2022-02-18,33,6360 2022-02-18,2022-02-18 15:37:05,Unknown
6360,9,2022-02-18,63,6360 2022-02-18,2022-02-18 15:34:13,Unknown
6360,9,2022-02-18,311,6360 2022-02-18,2022-02-18 11:47:45,Unknown
6360,9,2022-02-18,381,6360 2022-02-18,2022-02-18 06:52:16,Unknown
6360,9,2022-02-18,173,6360 2022-02-18,2022-02-18 20:25:13,Unknown
6787,2,2022-02-18,355,6787 2022-02-18,2022-02-18 16:54:27,Diarrhé
6787,2,2022-02-18,5,6787 2022-02-18,2022-02-18 16:13:49,Diarrhé
6787,2,2022-02-18,5,6787 2022-02-18,2022-02-18 16:13:39,Diarrhé
6787,2,2022-02-18,25,6787 2022-02-18,2022-02-18 16:12:48,Diarrhé
6787,2,2022-02-18,344,6787 2022-02-18,2022-02-18 10:45:14,Diarrhé
6787,2,2022-02-18,164,6787 2022-02-18,2022-02-18 07:42:16,Diarrhé
6787,2,2022-02-18,489,6787 2022-02-18,2022-02-18 07:33:06,Diarrhé
6787,2,2022-02-18,404,6787 2022-02-18,2022-02-18 21:03:48,Diarrhé
6741,9,2022-02-18,394,6741 2022-02-18,2022-02-18 16:40:51,Unknown
6741,9,2022-02-18,21,6741 2022-02-18,2022-02-18 14:42:36,Unknown
6741,9,2022-02-18,45,6741 2022-02-18,2022-02-18 14:40:52,Unknown
6741,9,2022-02-18,38,6741 2022-02-18,2022-02-18 14:40:04,Unknown
6741,9,2022-02-18,96,6741 2022-02-18,2022-02-18 14:38:16,Unknown
6741,9,2022-02-18,5,6741 2022-02-18,2022-02-18 14:38:09,Unknown
6741,9,2022-02-18,5,6741 2022-02-18,2022-02-18 14:38:01,Unknown
6741,9,2022-02-18,8,6741 2022-02-18,2022-02-18 14:37:51,Unknown
6741,9,2022-02-18,38,6741 2022-02-18,2022-02-18 14:36:46,Unknown
6741,9,2022-02-18,27,6741 2022-02-18,2022-02-18 14:36:18,Unknown
6741,9,2022-02-18,247,6741 2022-02-18,2022-02-18 12:35:55,Unknown
6741,9,2022-02-18,40,6741 2022-02-18,2022-02-18 12:32:45,Unknown
6741,9,2022-02-18,17,6741 2022-02-18,2022-02-18 12:31:52,Unknown
6741,9,2022-02-18,277,6741 2022-02-18,2022-02-18 07:29:24,Unknown
6741,9,2022-02-18,52,6741 2022-02-18,2022-02-18 07:28:27,Unknown
6741,9,2022-02-18,27,6741 2022-02-18,2022-02-18 07:27:43,Unknown
6741,9,2022-02-18,70,6741 2022-02-18,2022-02-18 07:25:53,Unknown
6741,9,2022-02-18,49,6741 2022-02-18,2022-02-18 07:25:03,Unknown
6741,9,2022-02-18,5,6741 2022-02-18,2022-02-18 07:24:57,Unknown
6741,9,2022-02-18,29,6741 2022-02-18,2022-02-18 07:24:21,Unknown
6741,9,2022-02-18,69,6741 2022-02-18,2022-02-18 07:22:27,Unknown
6741,9,2022-02-18,34,6741 2022-02-18,2022-02-18 07:21:43,Unknown
6741,9,2022-02-18,33,6741 2022-02-18,2022-02-18 07:20:58,Unknown
6741,9,2022-02-18,6,6741 2022-02-18,2022-02-18 07:20:51,Unknown
6741,9,2022-02-18,19,6741 2022-02-18,2022-02-18 07:20:27,Unknown
6741,9,2022-02-18,7,6741 2022-02-18,2022-02-18 07:20:17,Unknown
6741,9,2022-02-18,263,6741 2022-02-18,2022-02-18 20:31:12,Unknown
6738,10,2022-02-18,284,6738 2022-02-18,2022-02-18 16:36:06,Pneumonie
6738,10,2022-02-18,240,6738 2022-02-18,2022-02-18 09:20:36,Pneumonie
6738,10,2022-02-18,169,6738 2022-02-18,2022-02-18 20:27:15,Pneumonie
6738,10,2022-02-18,8,6738 2022-02-18,2022-02-18 20:27:04,Pneumonie
6738,10,2022-02-18,17,6738 2022-02-18,2022-02-18 20:26:42,Pneumonie
6738,10,2022-02-18,7,6738 2022-02-18,2022-02-18 20:26:17,Pneumonie
6738,10,2022-02-18,11,6738 2022-02-18,2022-02-18 20:25:50,Pneumonie
6403,2,2022-02-18,447,6403 2022-02-18,2022-02-18 16:32:11,Unknown
6403,2,2022-02-18,294,6403 2022-02-18,2022-02-18 15:35:07,Unknown
6403,2,2022-02-18,494,6403 2022-02-18,2022-02-18 13:12:49,Unknown
6403,2,2022-02-18,498,6403 2022-02-18,2022-02-18 11:30:14,Unknown
6403,2,2022-02-18,576,6403 2022-02-18,2022-02-18 06:48:05,Unknown
6403,2,2022-02-18,374,6403 2022-02-18,2022-02-18 21:20:31,Unknown
6403,2,2022-02-18,346,6403 2022-02-18,2022-02-18 19:14:28,Unknown
6349,9,2022-02-18,197,6349 2022-02-18,2022-02-18 16:29:17,Pneumonie
6349,9,2022-02-18,202,6349 2022-02-18,2022-02-18 12:16:58,Pneumonie
6349,9,2022-02-18,189,6349 2022-02-18,2022-02-18 08:27:24,Pneumonie
6349,9,2022-02-18,32,6349 2022-02-18,2022-02-18 08:26:50,Pneumonie
6349,9,2022-02-18,73,6349 2022-02-18,2022-02-18 08:24:48,Pneumonie
6349,9,2022-02-18,173,6349 2022-02-18,2022-02-18 20:22:16,Pneumonie
6349,9,2022-02-18,40,6349 2022-02-18,2022-02-18 20:21:31,Pneumonie
6349,9,2022-02-18,22,6349 2022-02-18,2022-02-18 20:20:23,Pneumonie
6349,9,2022-02-18,51,6349 2022-02-18,2022-02-18 20:19:15,Pneumonie
6349,9,2022-02-18,49,6349 2022-02-18,2022-02-18 20:18:25,Pneumonie
6726,10,2022-02-18,298,6726 2022-02-18,2022-02-18 16:23:33,Unknown
6726,10,2022-02-18,22,6726 2022-02-18,2022-02-18 16:15:07,Unknown
6726,10,2022-02-18,37,6726 2022-02-18,2022-02-18 15:44:45,Unknown
6726,10,2022-02-18,312,6726 2022-02-18,2022-02-18 11:53:48,Unknown
6726,10,2022-02-18,78,6726 2022-02-18,2022-02-18 11:46:04,Unknown
6726,10,2022-02-18,369,6726 2022-02-18,2022-02-18 06:32:18,Unknown
6726,10,2022-02-18,42,6726 2022-02-18,2022-02-18 06:31:16,Unknown
6726,10,2022-02-18,16,6726 2022-02-18,2022-02-18 06:29:32,Unknown
6726,10,2022-02-18,25,6726 2022-02-18,2022-02-18 06:29:06,Unknown
6726,10,2022-02-18,34,6726 2022-02-18,2022-02-18 06:28:30,Unknown
6726,10,2022-02-18,19,6726 2022-02-18,2022-02-18 06:28:09,Unknown
6726,10,2022-02-18,32,6726 2022-02-18,2022-02-18 06:27:35,Unknown
6726,10,2022-02-18,35,6726 2022-02-18,2022-02-18 06:26:43,Unknown
6726,10,2022-02-18,36,6726 2022-02-18,2022-02-18 06:25:35,Unknown
6726,10,2022-02-18,63,6726 2022-02-18,2022-02-18 06:24:28,Unknown
6726,10,2022-02-18,49,6726 2022-02-18,2022-02-18 06:23:38,Unknown
6726,10,2022-02-18,61,6726 2022-02-18,2022-02-18 06:12:42,Unknown
6726,10,2022-02-18,30,6726 2022-02-18,2022-02-18 06:09:57,Unknown
6726,10,2022-02-18,48,6726 2022-02-18,2022-02-18 06:09:06,Unknown
6726,10,2022-02-18,23,6726 2022-02-18,2022-02-18 06:08:11,Unknown
6726,10,2022-02-18,27,6726 2022-02-18,2022-02-18 06:07:42,Unknown
6726,10,2022-02-18,34,6726 2022-02-18,2022-02-18 06:06:57,Unknown
6726,10,2022-02-18,13,6726 2022-02-18,2022-02-18 06:06:40,Unknown
6726,10,2022-02-18,87,6726 2022-02-18,2022-02-18 06:04:37,Unknown
6726,10,2022-02-18,53,6726 2022-02-18,2022-02-18 06:03:43,Unknown
6726,10,2022-02-18,277,6726 2022-02-18,2022-02-18 20:13:14,Unknown
6796,1,2022-02-18,339,6796 2022-02-18,2022-02-18 16:09:51,Healthy
6796,1,2022-02-18,273,6796 2022-02-18,2022-02-18 09:43:08,Healthy
6385,10,2022-02-18,449,6385 2022-02-18,2022-02-18 16:09:47,Diarrhé
6385,10,2022-02-18,465,6385 2022-02-18,2022-02-18 07:05:48,Diarrhé
6385,10,2022-02-18,375,6385 2022-02-18,2022-02-18 21:21:30,Diarrhé
6404,1,2022-02-18,249,6404 2022-02-18,2022-02-18 16:04:06,Healthy
6404,1,2022-02-18,11,6404 2022-02-18,2022-02-18 16:03:22,Healthy
6404,1,2022-02-18,247,6404 2022-02-18,2022-02-18 09:26:23,Healthy
6734,10,2022-02-18,228,6734 2022-02-18,2022-02-18 15:58:59,Healthy
6734,10,2022-02-18,176,6734 2022-02-18,2022-02-18 15:53:14,Healthy
6734,10,2022-02-18,11,6734 2022-02-18,2022-02-18 15:44:14,Healthy
6734,10,2022-02-18,11,6734 2022-02-18,2022-02-18 15:42:55,Healthy
6734,10,2022-02-18,9,6734 2022-02-18,2022-02-18 15:42:45,Healthy
6734,10,2022-02-18,21,6734 2022-02-18,2022-02-18 15:37:38,Healthy
6734,10,2022-02-18,26,6734 2022-02-18,2022-02-18 15:32:16,Healthy
6734,10,2022-02-18,6,6734 2022-02-18,2022-02-18 15:30:58,Healthy
6734,10,2022-02-18,11,6734 2022-02-18,2022-02-18 15:30:39,Healthy
6734,10,2022-02-18,11,6734 2022-02-18,2022-02-18 15:25:47,Healthy
6734,10,2022-02-18,12,6734 2022-02-18,2022-02-18 15:24:37,Healthy
6734,10,2022-02-18,18,6734 2022-02-18,2022-02-18 15:24:17,Healthy
6734,10,2022-02-18,7,6734 2022-02-18,2022-02-18 15:22:13,Healthy
6734,10,2022-02-18,159,6734 2022-02-18,2022-02-18 15:19:21,Healthy
6734,10,2022-02-18,133,6734 2022-02-18,2022-02-18 10:03:15,Healthy
6734,10,2022-02-18,416,6734 2022-02-18,2022-02-18 06:15:24,Healthy
6734,10,2022-02-18,12,6734 2022-02-18,2022-02-18 06:15:06,Healthy
6734,10,2022-02-18,18,6734 2022-02-18,2022-02-18 06:14:05,Healthy
6734,10,2022-02-18,26,6734 2022-02-18,2022-02-18 06:12:02,Healthy
6734,10,2022-02-18,33,6734 2022-02-18,2022-02-18 06:11:21,Healthy
6734,10,2022-02-18,14,6734 2022-02-18,2022-02-18 06:10:48,Healthy
6734,10,2022-02-18,220,6734 2022-02-18,2022-02-18 20:08:01,Healthy
6734,10,2022-02-18,8,6734 2022-02-18,2022-02-18 19:58:15,Healthy
6734,10,2022-02-18,11,6734 2022-02-18,2022-02-18 19:55:51,Healthy
6734,10,2022-02-18,6,6734 2022-02-18,2022-02-18 19:55:43,Healthy
6391,2,2022-02-18,344,6391 2022-02-18,2022-02-18 15:51:51,Diarrhé
6391,2,2022-02-18,131,6391 2022-02-18,2022-02-18 14:45:59,Diarrhé
6391,2,2022-02-18,158,6391 2022-02-18,2022-02-18 09:23:56,Diarrhé
6391,2,2022-02-18,71,6391 2022-02-18,2022-02-18 09:17:57,Diarrhé
6391,2,2022-02-18,336,6391 2022-02-18,2022-02-18 20:45:34,Diarrhé
6766,10,2022-02-18,468,6766 2022-02-18,2022-02-18 15:44:10,Diarrhé
6766,10,2022-02-18,530,6766 2022-02-18,2022-02-18 09:26:34,Diarrhé
6766,10,2022-02-18,49,6766 2022-02-18,2022-02-18 09:25:45,Diarrhé
6766,10,2022-02-18,768,6766 2022-02-18,2022-02-18 07:16:48,Diarrhé
6766,10,2022-02-18,390,6766 2022-02-18,2022-02-18 20:16:41,Diarrhé
6766,10,2022-02-18,76,6766 2022-02-18,2022-02-18 20:15:25,Diarrhé
6774,2,2022-02-18,464,6774 2022-02-18,2022-02-18 15:44:07,Healthy
6774,2,2022-02-18,603,6774 2022-02-18,2022-02-18 06:36:31,Healthy
6774,2,2022-02-18,296,6774 2022-02-18,2022-02-18 20:29:15,Healthy
6388,10,2022-02-18,364,6388 2022-02-18,2022-02-18 15:38:05,"Diarrhé, Pneumonie"
6388,10,2022-02-18,387,6388 2022-02-18,2022-02-18 08:42:12,"Diarrhé, Pneumonie"
6388,10,2022-02-18,127,6388 2022-02-18,2022-02-18 08:25:26,"Diarrhé, Pneumonie"
6764,10,2022-02-18,396,6764 2022-02-18,2022-02-18 15:20:24,Diarrhé
6764,10,2022-02-18,360,6764 2022-02-18,2022-02-18 08:33:01,Diarrhé
6764,10,2022-02-18,134,6764 2022-02-18,2022-02-18 21:40:07,Diarrhé
6764,10,2022-02-18,266,6764 2022-02-18,2022-02-18 20:55:49,Diarrhé
6771,2,2022-02-18,343,6771 2022-02-18,2022-02-18 15:17:36,Diarrhé
6771,2,2022-02-18,288,6771 2022-02-18,2022-02-18 09:19:08,Diarrhé
6771,2,2022-02-18,340,6771 2022-02-18,2022-02-18 21:48:51,Diarrhé
6771,2,2022-02-18,354,6771 2022-02-18,2022-02-18 20:37:20,Diarrhé
6778,2,2022-02-18,324,6778 2022-02-18,2022-02-18 15:04:07,Diarrhé
6778,2,2022-02-18,351,6778 2022-02-18,2022-02-18 20:51:10,Diarrhé
6371,10,2022-02-18,198,6371 2022-02-18,2022-02-18 14:50:07,Pneumonie
6371,10,2022-02-18,174,6371 2022-02-18,2022-02-18 09:42:30,Pneumonie
6371,10,2022-02-18,211,6371 2022-02-18,2022-02-18 19:23:18,Pneumonie
6760,10,2022-02-18,747,6760 2022-02-18,2022-02-18 14:33:09,Unknown
6760,10,2022-02-18,131,6760 2022-02-18,2022-02-18 13:47:13,Unknown
6760,10,2022-02-18,539,6760 2022-02-18,2022-02-18 06:56:49,Unknown
6760,10,2022-02-18,28,6760 2022-02-18,2022-02-18 06:54:47,Unknown
6760,10,2022-02-18,34,6760 2022-02-18,2022-02-18 06:53:53,Unknown
6760,10,2022-02-18,617,6760 2022-02-18,2022-02-18 19:52:11,Unknown
6712,1,2022-02-18,283,6712 2022-02-18,2022-02-18 14:13:02,Healthy
6712,1,2022-02-18,255,6712 2022-02-18,2022-02-18 20:15:07,Healthy
6712,1,2022-02-18,13,6712 2022-02-18,2022-02-18 20:07:03,Healthy
6341,1,2022-02-18,218,6341 2022-02-18,2022-02-18 14:08:46,Pneumonie
6341,1,2022-02-18,85,6341 2022-02-18,2022-02-18 20:52:23,Pneumonie
6355,9,2022-02-18,212,6355 2022-02-18,2022-02-18 13:33:46,Healthy
6355,9,2022-02-18,136,6355 2022-02-18,2022-02-18 13:31:08,Healthy
6355,9,2022-02-18,14,6355 2022-02-18,2022-02-18 13:24:25,Healthy
6355,9,2022-02-18,6,6355 2022-02-18,2022-02-18 13:24:16,Healthy
6355,9,2022-02-18,9,6355 2022-02-18,2022-02-18 13:23:26,Healthy
6355,9,2022-02-18,19,6355 2022-02-18,2022-02-18 13:23:01,Healthy
6355,9,2022-02-18,21,6355 2022-02-18,2022-02-18 13:21:59,Healthy
6355,9,2022-02-18,5,6355 2022-02-18,2022-02-18 13:21:29,Healthy
6355,9,2022-02-18,12,6355 2022-02-18,2022-02-18 13:15:45,Healthy
6355,9,2022-02-18,10,6355 2022-02-18,2022-02-18 13:15:32,Healthy
6355,9,2022-02-18,9,6355 2022-02-18,2022-02-18 13:13:43,Healthy
6355,9,2022-02-18,11,6355 2022-02-18,2022-02-18 13:13:27,Healthy
6355,9,2022-02-18,9,6355 2022-02-18,2022-02-18 13:13:13,Healthy
6355,9,2022-02-18,17,6355 2022-02-18,2022-02-18 13:12:31,Healthy
6355,9,2022-02-18,12,6355 2022-02-18,2022-02-18 13:11:44,Healthy
6355,9,2022-02-18,16,6355 2022-02-18,2022-02-18 13:10:47,Healthy
